;Unnamed: 0;Submitby Date Time;Tc Direct Project ID;Challenge Manager;Challenge Copilot;Posting Date Date;Track;Technology List;Duration;Num Valid Submissions;First Place Prize;Num Appeals;Num Checkpoint Submissions;Num Registrations;Num Submissions;Num Submissions Passed Review;Num Successful Appeals;Num Valid Checkpoint Submissions;Contest Prizes Total;Copilot Cost;Total Prize
15;16;1899-12-31 00:00:00;14568;AAAAAAAAAH;AAAAAAAAAA;2018-04-04;Develop;C#;0;0;US$1.300,00;0;0;9;0;0;0;0;US$0,00;US$0,00;US$1.950,00
16;17;1899-12-31 00:00:00;16626;AAAAAAAAAH;AAAAAAAAAJ;2018-04-06;Develop;CSS,HTML5,JavaScript;0;0;US$1.800,00;0;0;58;0;0;0;0;US$0,00;US$0,00;US$2.700,00
17;18;1899-12-31 00:00:00;16633;AAAAAAAAAH;AAAAAAAAAH;2018-06-06;Design;0;0;0;US$1.250,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.500,00
18;19;1899-12-31 00:00:00;9391;AAAAAAAADJ;AAAAAAAAAE;2016-02-08;Develop;C++;0;0;US$800,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.200,00
19;20;1899-12-31 00:00:00;10926;AAAAAAAADK;AAAAAAAAAG;2016-12-13;Develop;CSS,HTML,HTML5,JavaScript;0;0;US$1.200,00;0;0;28;0;0;0;0;US$0,00;US$0,00;US$1.800,00
20;21;1899-12-31 00:00:00;14311;AAAAAAAADL;AAAAAAAAAG;2017-07-01;Develop;Actian Vector - SMP Analytics Database;0;0;US$100,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$500,00
21;22;1899-12-31 00:00:00;9429;AAAAAAAADJ;AAAAAAAAAE;2016-04-04;Develop;JavaScript;0;0;US$2.200,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$3.300,00
22;23;1899-12-31 00:00:00;11584;AAAAAAAAAH;AAAAAAAAAK;2016-12-19;Design;0;0;0;US$1.300,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$2.000,00
23;24;1899-12-31 00:00:00;9427;AAAAAAAAAH;AAAAAAAAAL;2016-03-06;Develop;CSS,HTML5,jQuery;0;0;US$900,00;0;0;25;0;0;0;0;US$0,00;US$0,00;US$1.350,00
24;25;1899-12-31 00:00:00;13475;AAAAAAAAAH;AAAAAAAAAE;2017-08-01;Design;0;0;0;US$1.000,00;0;0;11;0;0;0;0;US$75,00;US$0,00;US$1.650,00
25;26;1899-12-31 00:00:00;10345;AAAAAAAAAK;AAAAAAAAAH;2016-09-10;Develop;0;0;0;US$0,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$0,00
26;27;1899-12-31 00:00:00;15423;AAAAAAAAAH;AAAAAAAAAE;2017-12-18;Develop;C++,JavaScript;0;0;US$1.300,00;0;0;25;0;0;0;0;US$0,00;US$0,00;US$1.950,00
27;28;1899-12-31 00:00:00;15606;AAAAAAAADM;AAAAAAAAAD;2017-11-11;Develop;CSS,HTML,JavaScript,ReactJS;0;0;US$1.200,00;0;0;32;0;0;0;0;US$0,00;US$0,00;US$1.800,00
28;29;1899-12-31 00:00:00;9796;AAAAAAAAAH;AAAAAAAAAA;2016-09-10;Develop;.NET,C#;0;0;US$1.200,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.800,00
29;30;1899-12-31 00:00:00;11836;AAAAAAAADN;AAAAAAAAAE;2017-08-29;Develop;Swift;0;0;US$850,00;0;0;23;0;0;0;0;US$0,00;US$0,00;US$1.275,00
30;31;1899-12-31 00:00:00;10238;AAAAAAAAAH;AAAAAAAAAB;2016-07-29;Design;0;0;0;US$700,00;0;7;41;0;0;0;7;US$175,00;US$0,00;US$1.300,00
31;32;1899-12-31 00:00:00;18008;AAAAAAAAAH;AAAAAAAAAC;2018-07-12;Design;0;0;0;US$1.700,00;0;6;43;0;0;0;5;US$0,00;US$0,00;US$3.250,00
32;33;1899-12-31 00:00:00;9479;AAAAAAAAAH;AAAAAAAAAM;2016-06-17;Develop;Java;0;0;US$500,00;0;0;7;0;0;0;0;US$0,00;US$0,00;US$750,00
33;34;1899-12-31 00:00:00;8576;AAAAAAAADF;AAAAAAAAAH;2016-11-18;Design;0;0;0;US$1,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$2,00
34;35;1899-12-31 00:00:00;16171;AAAAAAAAAH;AAAAAAAAAN;2018-01-24;Design;0;0;0;US$1.700,00;0;3;25;0;0;0;3;US$0,00;US$0,00;US$3.250,00
35;36;1899-12-31 00:00:00;13076;AAAAAAAADO;AAAAAAAAAC;2017-10-13;Design;0;0;2;US$1.300,00;0;3;18;2;2;0;2;US$0,00;US$0,00;US$2.500,00
36;37;1899-12-31 00:00:00;9753;AAAAAAAAAH;AAAAAAAAAC;2016-06-22;Design;0;0;1;US$500,00;0;3;41;1;1;0;3;US$0,00;US$0,00;US$950,00
37;38;1899-12-31 00:00:00;10345;AAAAAAAAAH;AAAAAAAAAO;2018-09-04;Develop;Angular.js (1.0),CSS,ReactJS;0;0;US$1.200,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.800,00
38;39;1899-12-31 00:00:00;16229;AAAAAAAAAH;AAAAAAAAAP;2018-03-18;Develop;Java;0;3;US$1.000,00;0;0;57;3;3;0;0;US$0,00;US$0,00;US$1.000,00
39;40;1899-12-31 00:00:00;15748;AAAAAAAAAH;AAAAAAAAAD;2017-11-08;Design;0;0;0;US$1.300,00;0;5;14;0;0;0;5;US$250,01;US$0,00;US$2.250,00
40;41;1899-12-31 00:00:00;15902;AAAAAAAAAH;AAAAAAAAAQ;2017-12-14;Design;0;0;0;US$1.000,00;0;0;0;0;0;0;0;US$375,00;US$300,00;US$1.550,00
41;42;1899-12-31 00:00:00;12648;AAAAAAAADP;AAAAAAAAAD;2017-05-05;Develop;Angular.js (1.0),JavaScript,Web Application;0;0;US$1.000,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$2.050,00
42;43;1899-12-31 00:00:00;15907;AAAAAAAAAH;AAAAAAAAAD;2017-11-16;Design;0;0;0;US$1.700,00;0;4;21;0;0;0;4;US$0,00;US$0,00;US$3.250,00
43;44;1899-12-31 00:00:00;12648;AAAAAAAADP;AAAAAAAAAH;2017-05-16;Develop;Other;0;0;US$1.000,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.500,00
44;45;1899-12-31 00:00:00;15884;AAAAAAAAAH;AAAAAAAAAD;2018-03-29;Design;0;0;0;US$1.300,00;0;0;5;0;0;0;0;US$75,00;US$0,00;US$2.500,00
45;46;1899-12-31 00:00:00;10619;AAAAAAAAAH;AAAAAAAAAA;2016-09-16;Develop;Bootstrap,CSS,HTML5,JavaScript,ReactJS;0;0;US$1.600,00;0;0;51;0;0;0;0;US$0,00;US$0,00;US$2.400,00
46;47;1899-12-31 00:00:00;16181;AAAAAAAADO;AAAAAAAAAD;2018-01-06;Design;0;0;0;US$1.300,00;0;0;26;0;0;0;0;US$0,00;US$0,00;US$2.500,00
47;48;1899-12-31 00:00:00;15373;AAAAAAAAAH;AAAAAAAAAA;2017-12-27;Develop;Android,HTML5,Ionic,JavaScript,iOS;0;0;US$1.700,00;0;0;44;0;0;0;0;US$0,00;US$0,00;US$2.550,00
48;49;1899-12-31 00:00:00;9391;AAAAAAAADJ;AAAAAAAAAE;2016-02-15;Develop;C++;0;0;US$600,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$900,00
49;50;1899-12-31 00:00:00;16632;AAAAAAAAAH;AAAAAAAAAR;2018-06-20;Develop;Angular 2+;0;0;US$200,00;0;0;7;0;0;0;0;US$0,00;US$0,00;US$350,00
50;51;1899-12-31 00:00:00;12861;AAAAAAAAAH;AAAAAAAAAK;2017-05-09;Design;0;0;0;US$1.700,00;0;11;45;0;0;0;11;US$0,00;US$0,00;US$3.250,00
51;52;1899-12-31 00:00:00;10631;AAAAAAAAAH;AAAAAAAAAA;2016-11-10;Develop;.NET,ASP.NET,Active Directory,Angular.js,C#,CSS,HTML5,REST,SQL Server;0;0;US$1.600,00;0;0;24;0;0;0;0;US$0,00;US$0,00;US$2.400,00
52;53;1899-12-31 00:00:00;9289;AAAAAAAADK;AAAAAAAAAF;2016-04-05;Develop;0;0;0;US$1.200,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.800,00
53;54;1899-12-31 00:00:00;15406;AAAAAAAAAH;AAAAAAAAAD;2017-11-03;Develop;Android,Angular 2+,Angular.js (1.0),CSS,HTML5,JSON,JavaScript,ReactJS,iOS;0;0;US$2,00;0;0;41;0;0;0;0;US$0,00;US$0,00;US$3,00
54;55;1899-12-31 00:00:00;8576;AAAAAAAADF;AAAAAAAAAA;2016-11-21;Develop;Java,PostgreSQL,REST,SQL;0;0;US$1.200,00;0;0;32;0;0;0;0;US$0,00;US$0,00;US$1.800,00
55;56;1899-12-31 00:00:00;9402;AAAAAAAAAH;AAAAAAAAAB;2016-01-21;Develop;Angular.js,Bootstrap,CSS,HTML5,JavaScript;0;0;US$600,00;0;0;21;0;0;0;0;US$0,00;US$0,00;US$900,00
56;57;1899-12-31 00:00:00;9512;AAAAAAAAAH;AAAAAAAAAA;2016-08-19;Develop;Node.js;0;0;US$400,00;0;0;3;0;0;0;0;US$0,00;US$0,00;US$600,00
57;58;1899-12-31 00:00:00;15017;AAAAAAAAAH;AAAAAAAAAC;2017-10-19;Design;0;0;0;US$1.300,00;0;6;33;0;0;0;6;US$0,00;US$0,00;US$2.500,00
58;59;1899-12-31 00:00:00;17713;AAAAAAAADQ;AAAAAAAAAH;2018-06-28;Develop;Continuous Integration;0;0;US$200,00;0;0;1;0;0;0;0;US$0,00;US$0,00;US$300,00
59;60;1899-12-31 00:00:00;857;AAAAAAAAAH;AAAAAAAAAA;2016-07-25;Develop;CSS,HTML5,JavaScript,jQuery;0;0;US$1.000,00;0;0;19;0;0;0;0;US$0,00;US$0,00;US$1.500,00
61;62;1899-12-31 00:00:00;9615;AAAAAAAAAH;AAAAAAAAAA;2016-11-24;Develop;Android,Angular.js,HTML5,JPA,Java,JavaScript,MySQL,REST;0;1;US$1.400,00;0;0;47;1;1;0;0;US$0,00;US$0,00;US$2.150,00
62;63;1899-12-31 00:00:00;11109;AAAAAAAAAG;AAAAAAAAAG;2016-12-19;Develop;Ionic,JavaScript,Salesforce,iOS;0;0;US$1.100,00;0;0;17;0;0;0;0;US$0,00;US$0,00;US$1.650,00
63;64;1899-12-31 00:00:00;17532;AAAAAAAAAH;AAAAAAAAAQ;2018-06-12;Design;0;0;0;US$2.000,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$5.750,00
64;65;1899-12-31 00:00:00;9427;AAAAAAAADR;AAAAAAAAAL;2016-03-22;Develop;CSS,HTML5,JavaScript;0;0;US$1.200,00;0;0;23;0;0;0;0;US$0,00;US$0,00;US$1.800,00
65;66;1899-12-31 00:00:00;16512;AAAAAAAADS;AAAAAAAAAH;2018-03-08;Develop;Linux;0;0;US$200,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$300,00
66;67;1899-12-31 00:00:00;9254;AAAAAAAADT;AAAAAAAAAA;2016-04-15;QA;.NET,ASP.NET,Angular.js,C#,REST,SQL Server;0;1;US$300,00;0;0;4;1;1;0;0;US$0,00;US$0,00;US$300,00
67;68;1899-12-31 00:00:00;13078;AAAAAAAAAH;AAAAAAAAAK;2017-04-26;Design;0;0;0;US$1.700,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$3.250,00
68;69;1899-12-31 00:00:00;12595;AAAAAAAAAH;AAAAAAAAAA;2017-03-11;Develop;CSS,HTML5,JavaScript;0;0;US$1.400,00;0;0;47;0;0;0;0;US$0,00;US$0,00;US$2.100,00
69;70;1899-12-31 00:00:00;13078;AAAAAAAAAH;AAAAAAAAAK;2017-05-10;Design;0;0;0;US$1.300,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$2.500,00
70;71;1899-12-31 00:00:00;9291;AAAAAAAADU;AAAAAAAAAH;2016-02-27;Develop;REST,Swift;0;0;US$500,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$750,00
71;72;1899-12-31 00:00:00;16633;AAAAAAAAAH;AAAAAAAAAR;2018-06-01;Develop;ReactJS;0;0;US$200,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$350,00
72;73;1899-12-31 00:00:00;9429;AAAAAAAADJ;AAAAAAAAAE;2016-03-28;Develop;JavaScript;0;0;US$1.300,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.950,00
73;74;1899-12-31 00:00:00;15600;AAAAAAAAAH;AAAAAAAAAT;2018-03-01;Develop;Blockchain,Ethereum,JavaScript,Other;0;0;US$500,00;0;0;66;0;0;0;0;US$0,00;US$0,00;US$1.650,00
74;75;1899-12-31 00:00:00;15884;AAAAAAAAAH;AAAAAAAAAD;2018-03-29;Design;0;0;1;US$1.300,00;0;10;27;1;1;0;10;US$0,00;US$0,00;US$2.500,00
75;76;2020-04-30 22:44:00;12591;AAAAAAAAAH;AAAAAAAAAU;2020-01-24;Develop;.NET;0;0;US$350,00;0;0;2;0;0;0;0;US$0,00;US$0,00;US$500,00
76;77;2020-03-07 09:03:00;12591;AAAAAAAAAH;AAAAAAAAAU;2020-01-22;Develop;ReactJS;0;0;US$100,00;0;0;2;0;0;0;0;US$0,00;US$0,00;US$150,00
77;78;2020-02-12 19:03:00;25350;AAAAAAAAAH;AAAAAAAAAV;2020-02-07;Develop;ReactJS;0;0;US$1.400,00;0;0;13;0;0;0;0;US$0,00;US$0,00;US$2.100,00
78;79;2020-02-10 02:57:54;23040;AAAAAAAAAH;AAAAAAAAAV;2020-02-03;Develop;Python;10579;1;US$2.000,00;0;0;70;1;0;0;0;US$360,00;US$0,00;US$3.000,00
79;80;2020-02-10 05:10:07;24703;AAAAAAAAAH;AAAAAAAAAW;2020-02-07;Develop;Swagger;7058;3;US$800,00;0;0;39;3;2;0;0;US$2.024,00;US$600,00;US$1.200,00
80;81;2020-02-10 15:08:59;25366;AAAAAAAAAH;AAAAAAAAAA;2020-02-06;Develop;Angular 2+,CSS,HTML5,JavaScript;7182;6;US$600,00;0;0;49;6;2;0;0;US$1.758,00;US$600,00;US$900,00
81;82;2020-02-09 13:02:25;17563;AAAAAAAAAH;AAAAAAAAAL;2020-02-04;Develop;Apache Kafka,Node.js,Other;10301;3;US$1.000,00;0;0;28;3;3;0;0;US$2.660,00;US$600,00;US$1.500,00
82;83;2020-02-09 11:11:56;24008;AAAAAAAAAH;AAAAAAAAAX;2020-02-04;Develop;Npm,Protractor;10143;4;US$800,00;0;0;27;4;4;0;0;US$2.328,00;US$600,00;US$1.200,00
83;84;2020-02-09 13:24:24;25298;AAAAAAAAAH;AAAAAAAAAE;2020-02-03;Develop;Android,Java;11090;1;US$1.500,00;0;0;26;1;1;0;0;US$2.640,00;US$600,00;US$2.250,00
84;85;2020-02-09 00:04:57;24401;AAAAAAAAAH;AAAAAAAAAL;2020-02-05;Develop;Node.js;7768;9;US$800,00;0;0;47;9;7;0;0;US$2.728,00;US$600,00;US$1.200,00
85;86;2020-02-08 17:16:10;25165;AAAAAAAAAH;AAAAAAAAAP;2020-02-04;Develop;AWS,Docker,Elasticsearch,Node.js,Swagger;7438;1;US$800,00;0;0;35;1;1;0;0;US$1.688,00;US$600,00;US$1.200,00
86;87;2020-02-07 12:01:39;12591;AAAAAAAAAH;AAAAAAAAAP;2020-02-04;Develop;Node.js,ReactJS;7158;1;US$800,00;0;0;24;1;1;0;0;US$1.688,00;US$600,00;US$1.200,00
87;88;2020-02-06 12:11:26;25323;AAAAAAAAAH;AAAAAAAAAY;2020-01-30;Design;0;10481;16;US$1.700,00;0;21;44;16;16;0;21;US$3.900,00;US$600,00;US$3.250,00
88;89;2020-02-05 11:30:10;12591;AAAAAAAAAH;AAAAAAAAAZ;2020-02-01;Develop;Apache Kafka,HTML5,ReactJS,SCSS;8223;1;US$750,00;0;0;37;1;1;0;0;US$1.620,00;US$600,00;US$1.050,00
89;90;2020-02-05 16:24:42;21043;AAAAAAAAAH;AAAAAAAAAP;2020-02-04;Develop;AWS,Docker,Elasticsearch,Node.js,Other;2419;5;US$400,00;0;0;24;5;5;0;0;US$1.352,00;US$600,00;US$600,00
90;91;2020-02-05 04:02:58;24995;AAAAAAAAAK;AAAAAAAAAK;2020-01-22;Design;0;30126;12;US$1.700,00;0;17;40;12;12;0;17;US$3.900,00;US$600,00;US$3.250,00
91;92;2020-02-05 00:28:59;25350;AAAAAAAAAH;AAAAAAAAAV;2020-01-28;Develop;ReactJS;10936;3;US$1.400,00;0;0;61;3;2;0;0;US$3.100,00;US$600,00;US$2.100,00
92;93;2020-02-05 11:30:55;12591;AAAAAAAAAH;AAAAAAAABA;2020-02-02;Develop;HTML,JavaScript,ReactJS,SCSS;5741;3;US$600,00;0;0;40;3;3;0;0;US$1.836,00;US$600,00;US$900,00
93;94;2020-02-05 16:12:30;25323;AAAAAAAAAH;AAAAAAAAAA;2020-01-31;Develop;Angular 2+,CSS,HTML5,JavaScript;9977;5;US$1.000,00;0;0;57;5;3;0;0;US$2.960,00;US$600,00;US$1.500,00
94;95;2020-02-04 12:20:21;25101;AAAAAAAAAH;AAAAAAAABB;2020-01-30;Develop;Apache Kafka,Node.js;10115;2;US$600,00;0;0;31;2;2;0;0;US$1.776,00;US$600,00;US$900,00
95;96;2020-02-03 09:02:23;24975;AAAAAAAAAH;AAAAAAAAAO;2020-01-21;Data Science;Data Science;28466;25;US$2.000,00;0;0;111;25;6;0;0;US$8.410,00;US$600,00;US$5.050,00
96;97;2020-02-03 00:23:43;12591;AAAAAAAAAH;AAAAAAAAAX;2020-01-30;Develop;HTML5,JavaScript,ReactJS,SCSS;9511;1;US$600,00;0;0;35;1;1;0;0;US$1.476,00;US$600,00;US$900,00
97;98;2020-02-03 08:04:15;22241;AAAAAAAAAH;AAAAAAAABC;2020-01-25;Design;0;21598;8;US$1.300,00;0;13;27;8;8;0;13;US$3.150,00;US$600,00;US$2.500,00
98;99;2020-02-02 18:14:14;25080;AAAAAAAAAR;AAAAAAAAAA;2020-01-29;Develop;MongoDB,Node.js,REST,ReactJS;7577;1;US$800,00;0;0;40;1;1;0;0;US$1.544,00;US$600,00;US$1.200,00
99;100;2020-02-02 01:18:02;23040;AAAAAAAAAH;AAAAAAAAAV;2020-01-28;Develop;Python;0;0;US$2.000,00;0;0;57;0;0;0;0;US$0,00;US$0,00;US$3.000,00
100;101;2020-02-01 23:39:39;20205;AAAAAAAAAH;AAAAAAAABD;2020-01-30;QA;QA;10409;7;US$750,00;0;0;33;7;5;0;0;US$2.693,00;US$1.200,00;US$1.282,00
101;102;2020-01-31 23:21:25;12591;AAAAAAAAAH;AAAAAAAABA;2020-01-29;Develop;HTML5,JavaScript,ReactJS,SCSS;4307;1;US$400,00;0;0;23;1;1;0;0;US$1.144,00;US$600,00;US$600,00
102;103;2020-01-31 00:14:27;22339;AAAAAAAAAH;AAAAAAAABA;2020-01-25;Develop;AWS,NGINX,Node.js,Oauth,PostgreSQL,TypeScript;11506;2;US$1.600,00;0;0;45;2;2;0;0;US$3.736,00;US$600,00;US$2.400,00
103;104;2020-01-31 07:14:37;19942;AAAAAAAAAH;AAAAAAAABE;2020-01-28;QA;Android,Mobile,QA,iOS;8612;6;US$250,00;0;0;31;6;6;0;0;US$635,00;US$200,00;US$415,00
104;105;2020-01-31 03:05:44;24008;AAAAAAAABL;AAAAAAAABF;2020-01-28;QA;QA;6077;10;US$500,00;0;0;44;10;10;0;0;US$1.345,00;US$600,00;US$625,00
105;106;2020-01-30 19:05:24;25080;AAAAAAAAAR;AAAAAAAAAA;2020-01-25;Develop;Android,HTML5,JavaScript,iOS;9102;4;US$1.200,00;0;0;41;4;1;0;0;US$2.196,00;US$600,00;US$1.800,00
106;107;2020-01-29 23:38:47;20205;AAAAAAAAAH;AAAAAAAABD;2020-01-27;QA;QA;13128;23;US$196,00;0;0;49;23;9;0;0;US$5.408,60;US$1.200,00;US$1.922,80
107;108;2020-01-29 00:34:27;25255;AAAAAAAAAH;AAAAAAAAAA;2020-01-23;Develop;Swift,iOS;11382;3;US$1.200,00;0;0;23;3;3;0;0;US$3.472,00;US$600,00;US$2.100,00
108;109;2020-01-28 21:58:42;25186;AAAAAAAAAH;AAAAAAAAAX;2020-01-23;QA;QA;9668;9;US$400,00;0;0;34;9;8;0;0;US$2.122,00;US$600,00;US$600,00
109;110;2020-01-27 13:28:38;23040;AAAAAAAAAH;AAAAAAAAAV;2020-01-20;Develop;Python;0;0;US$1.200,00;0;0;51;0;0;0;0;US$0,00;US$0,00;US$1.800,00
110;111;2020-01-26 23:02:11;25141;AAAAAAAAAS;AAAAAAAABG;2020-01-17;Design;0;20470;10;US$1.700,00;0;15;34;10;10;0;15;US$3.900,00;US$600,00;US$3.250,00
111;112;2020-01-26 02:36:13;22528;AAAAAAAAAH;AAAAAAAABH;2020-01-22;Develop;Elasticsearch,Node.js,PostgreSQL;9932;1;US$600,00;0;0;21;1;1;0;0;US$1.416,00;US$600,00;US$900,00
112;113;2020-01-26 05:39:03;22528;AAAAAAAAAH;AAAAAAAABH;2020-01-21;Develop;Node.js,ReactJS,SCSS;8854;4;US$460,00;0;0;20;4;4;0;0;US$1.361,80;US$600,00;US$610,00
113;114;2020-01-26 11:02:03;25214;AAAAAAAAAH;AAAAAAAAAY;2020-01-20;Design;0;14812;9;US$1.000,00;0;19;52;9;9;0;19;US$2.150,00;US$300,00;US$1.800,00
114;115;2020-01-26 17:28:29;12591;AAAAAAAAAH;AAAAAAAAAZ;2020-01-20;Develop;Apache Kafka,HTML5,ReactJS,SCSS;10642;1;US$600,00;0;0;36;1;0;0;0;US$216,00;US$0,00;US$900,00
115;116;2020-01-26 13:58:44;22339;AAAAAAAAAH;AAAAAAAABA;2020-01-23;QA;Node.js,QA,TypeScript;5340;2;US$800,00;0;0;27;2;2;0;0;US$2.168,00;US$600,00;US$1.200,00
116;117;2020-01-26 09:50:56;24008;AAAAAAAAAH;AAAAAAAABI;2020-01-22;QA;QA;17253;8;US$600,00;0;0;51;8;8;0;0;US$2.136,00;US$600,00;US$900,00
117;118;2020-01-25 02:13:01;25253;AAAAAAAAAH;AAAAAAAAAP;2020-01-21;Develop;Node.js,ReactJS;6702;1;US$600,00;0;0;25;1;1;0;0;US$1.416,00;US$600,00;US$900,00
119;120;2020-01-24 09:16:43;25080;AAAAAAAAAR;AAAAAAAAAA;2020-01-17;Develop;MongoDB,Node.js,REST;12514;2;US$1.400,00;0;0;50;2;1;0;0;US$2.644,00;US$600,00;US$2.100,00
120;121;2020-01-24 11:58:30;22241;AAAAAAAAAH;AAAAAAAABC;2020-01-21;Design;0;5808;13;US$150,00;0;0;21;13;13;0;0;US$550,00;US$300,00;US$200,00
121;122;2020-01-23 09:04:43;25080;AAAAAAAAAR;AAAAAAAAAA;2020-01-18;Develop;Android,HTML5,JavaScript,iOS;9314;1;US$1.200,00;0;0;35;1;0;0;0;US$216,00;US$0,00;US$1.800,00
122;123;2020-01-23 06:13:17;22339;AAAAAAAAAH;AAAAAAAABE;2020-01-18;Develop;AWS,Node.js,TypeScript;8776;1;US$1.200,00;0;0;33;1;1;0;0;US$2.232,00;US$600,00;US$1.800,00
123;124;2020-01-22 13:11:49;24401;AAAAAAAAAH;AAAAAAAAAL;2020-01-18;Develop;AWS,Node.js;10627;3;US$700,00;0;0;26;3;2;0;0;US$2.042,00;US$600,00;US$1.050,00
124;125;2020-01-22 16:58:16;21043;AAAAAAAAAH;AAAAAAAAAP;2020-01-18;Develop;AWS,Docker,Elasticsearch,Node.js,Swagger;8626;1;US$800,00;0;0;24;1;1;0;0;US$1.688,00;US$600,00;US$1.200,00
125;126;2020-01-21 05:59:43;25085;AAAAAAAAAH;AAAAAAAAAK;2020-01-07;Design;0;29807;17;US$1.300,00;0;26;57;17;17;0;26;US$3.150,00;US$600,00;US$2.500,00
126;127;2020-01-21 16:57:53;21043;AAAAAAAAAH;AAAAAAAAAP;2020-01-18;Develop;AWS,Docker,Elasticsearch,Node.js,Other;7730;3;US$400,00;0;0;23;3;2;0;0;US$1.424,00;US$600,00;US$600,00
127;128;2020-01-20 09:17:30;25080;AAAAAAAAAR;AAAAAAAAAA;2020-01-17;Develop;CSS,HTML5,JavaScript,ReactJS;6364;4;US$700,00;0;0;30;4;2;0;0;US$1.881,00;US$600,00;US$1.050,00
